date;heure;PA04C;A1;AUT;AUB;BASCH
;;mg/m3;mg/m3;mg/m3;mg/m3;mg/m3
01/09/2012;1;0;0;1;0;0
01/09/2012;2;0;0;0;0;0
01/09/2012;3;0;0;0;0;0
01/09/2012;4;0;0;0;0;0
01/09/2012;5;0;0;1;0;0
01/09/2012;6;0;1;0;0;0
01/09/2012;7;0;1;1;0;1
01/09/2012;8;0;1;1;0;1
01/09/2012;9;0;1;0;0;1
01/09/2012;10;0;1;1;0;1
01/09/2012;11;0;1;1;0;0
01/09/2012;12;0;1;1;0;0
01/09/2012;13;0;1;0;0;0
01/09/2012;14;0;1;0;0;0
01/09/2012;15;0;1;1;0;0
01/09/2012;16;0;1;1;0;1
01/09/2012;17;0;1;1;0;1
01/09/2012;18;0;1;1;0;1
01/09/2012;19;0;1;1;0;1
01/09/2012;20;0;1;1;0;1
01/09/2012;21;0;1;1;0;1
01/09/2012;22;0;1;1;0;1
01/09/2012;23;0;1;1;0;1
01/09/2012;24;0;1;1;0;1
02/09/2012;1;0;1;1;0;0
02/09/2012;2;0;1;1;0;0
02/09/2012;3;0;0;1;0;0
02/09/2012;4;0;0;1;0;0
02/09/2012;5;0;1;1;0;0
02/09/2012;6;0;1;0;0;0
02/09/2012;7;0;1;0;0;0
02/09/2012;8;0;1;1;0;1
02/09/2012;9;0;1;1;0;1
02/09/2012;10;0;1;1;0;1
02/09/2012;11;0;1;1;0;1
02/09/2012;12;0;1;0;0;1
02/09/2012;13;0;1;0;0;1
02/09/2012;14;0;1;1;0;1
02/09/2012;15;0;1;0;0;1
02/09/2012;16;0;1;1;0;1
02/09/2012;17;0;1;1;0;1
02/09/2012;18;0;1;1;0;1
02/09/2012;19;0;1;1;0;1
02/09/2012;20;0;1;1;0;1
02/09/2012;21;0;1;1;0;1
02/09/2012;22;0;1;1;0;1
02/09/2012;23;0;1;1;0;0
02/09/2012;24;0;0;0;0;0
03/09/2012;1;0;0;0;0;0
03/09/2012;2;0;0;0;0;0
03/09/2012;3;0;0;0;0;0
03/09/2012;4;0;0;0;0;0
03/09/2012;5;0;1;1;0;1
03/09/2012;6;0;1;1;0;1
03/09/2012;7;0;1;1;0;1
03/09/2012;8;1;1;1;0;2
03/09/2012;9;n/d;1;1;0;1
03/09/2012;10;n/d;1;1;0;1
03/09/2012;11;n/d;1;1;0;1
03/09/2012;12;0;1;1;0;1
03/09/2012;13;0;1;1;0;1
03/09/2012;14;0;1;1;0;1
03/09/2012;15;0;1;1;0;1
03/09/2012;16;0;1;1;0;1
03/09/2012;17;0;1;1;0;1
03/09/2012;18;0;1;1;0;1
03/09/2012;19;0;1;1;0;1
03/09/2012;20;0;1;1;0;1
03/09/2012;21;0;1;1;0;1
03/09/2012;22;0;1;1;0;1
03/09/2012;23;0;1;1;0;1
03/09/2012;24;0;1;1;0;0
04/09/2012;1;0;0;0;0;0
04/09/2012;2;0;0;0;0;0
04/09/2012;3;0;1;0;0;0
04/09/2012;4;0;1;1;0;0
04/09/2012;5;0;1;1;0;0
04/09/2012;6;0;1;1;0;1
04/09/2012;7;0;1;1;0;1
04/09/2012;8;0;1;1;0;1
04/09/2012;9;0;1;1;0;1
04/09/2012;10;0;1;1;0;1
04/09/2012;11;0;1;1;0;1
04/09/2012;12;0;1;1;0;1
04/09/2012;13;0;1;1;0;1
04/09/2012;14;0;1;1;0;1
04/09/2012;15;0;1;1;0;1
04/09/2012;16;0;1;1;0;1
04/09/2012;17;0;1;1;0;1
04/09/2012;18;0;1;1;0;1
04/09/2012;19;0;1;1;0;1
04/09/2012;20;1;1;1;0;1
04/09/2012;21;0;1;1;0;0
04/09/2012;22;0;1;1;0;0
04/09/2012;23;0;1;1;0;0
04/09/2012;24;0;0;1;0;0
05/09/2012;1;0;0;0;0;0
05/09/2012;2;0;0;0;0;0
05/09/2012;3;0;1;0;0;0
05/09/2012;4;0;1;0;0;0
05/09/2012;5;0;1;1;0;0
05/09/2012;6;0;1;1;0;1
05/09/2012;7;0;1;1;0;1
05/09/2012;8;0;1;1;0;1
05/09/2012;9;0;1;1;0;1
05/09/2012;10;0;1;1;0;1
05/09/2012;11;0;1;1;0;1
05/09/2012;12;0;1;1;0;1
05/09/2012;13;0;1;1;0;1
05/09/2012;14;0;1;1;0;1
05/09/2012;15;0;1;1;0;1
05/09/2012;16;0;1;1;0;1
05/09/2012;17;0;1;1;0;1
05/09/2012;18;0;1;1;0;1
05/09/2012;19;0;1;1;0;1
05/09/2012;20;0;1;1;0;1
05/09/2012;21;0;0;0;0;0
05/09/2012;22;0;0;0;0;0
05/09/2012;23;0;0;0;0;0
05/09/2012;24;0;0;0;0;0
06/09/2012;1;0;0;0;0;0
06/09/2012;2;0;0;0;0;0
06/09/2012;3;0;0;0;0;0
06/09/2012;4;0;0;0;0;0
06/09/2012;5;0;1;1;0;0
06/09/2012;6;0;1;1;0;1
06/09/2012;7;0;1;1;0;1
06/09/2012;8;0;1;1;0;1
06/09/2012;9;0;n/d;1;0;0
06/09/2012;10;0;n/d;1;0;0
06/09/2012;11;0;1;1;0;0
06/09/2012;12;0;1;1;0;0
06/09/2012;13;0;1;1;0;0
06/09/2012;14;0;1;1;0;0
06/09/2012;15;0;1;1;0;1
06/09/2012;16;0;1;1;0;1
06/09/2012;17;0;1;1;0;1
06/09/2012;18;0;1;1;0;1
06/09/2012;19;0;1;1;0;1
06/09/2012;20;0;1;1;0;1
06/09/2012;21;0;1;1;0;0
06/09/2012;22;0;1;2;0;0
06/09/2012;23;0;1;1;0;0
06/09/2012;24;0;1;1;0;1
07/09/2012;1;0;1;1;0;1
07/09/2012;2;0;0;1;0;0
07/09/2012;3;0;0;1;0;0
07/09/2012;4;0;1;1;0;0
07/09/2012;5;0;1;1;0;0
07/09/2012;6;0;1;1;0;1
07/09/2012;7;1;1;2;0;2
07/09/2012;8;1;1;1;1;1
07/09/2012;9;1;1;1;0;1
07/09/2012;10;0;1;1;0;1
07/09/2012;11;0;1;1;0;1
07/09/2012;12;0;1;1;0;1
07/09/2012;13;0;1;1;0;1
07/09/2012;14;0;1;1;0;1
07/09/2012;15;0;1;1;0;1
07/09/2012;16;0;1;1;0;1
07/09/2012;17;0;1;1;0;1
07/09/2012;18;0;1;1;0;1
07/09/2012;19;0;1;1;0;1
07/09/2012;20;1;1;2;1;1
07/09/2012;21;1;1;2;1;1
07/09/2012;22;1;1;2;1;1
07/09/2012;23;1;1;2;1;2
07/09/2012;24;1;1;2;1;1
08/09/2012;1;1;1;1;0;1
08/09/2012;2;1;1;1;0;1
08/09/2012;3;1;1;1;0;1
08/09/2012;4;1;1;1;0;1
08/09/2012;5;0;1;1;0;1
08/09/2012;6;0;1;1;0;1
08/09/2012;7;0;1;1;0;1
08/09/2012;8;0;1;1;0;1
08/09/2012;9;0;1;1;0;1
08/09/2012;10;0;1;1;0;1
08/09/2012;11;0;1;1;0;1
08/09/2012;12;0;1;1;0;0
08/09/2012;13;0;1;1;0;0
08/09/2012;14;0;1;1;0;0
08/09/2012;15;0;1;1;0;1
08/09/2012;16;0;1;1;0;1
08/09/2012;17;0;1;1;0;1
08/09/2012;18;0;1;1;0;1
08/09/2012;19;1;1;1;0;1
08/09/2012;20;1;1;1;0;1
08/09/2012;21;1;1;2;0;1
08/09/2012;22;1;1;2;0;1
08/09/2012;23;1;1;2;1;2
08/09/2012;24;1;1;2;1;2
09/09/2012;1;1;1;2;0;2
09/09/2012;2;1;1;1;0;1
09/09/2012;3;1;1;1;0;1
09/09/2012;4;1;1;1;0;1
09/09/2012;5;1;1;1;0;1
09/09/2012;6;0;1;1;1;1
09/09/2012;7;0;1;1;1;1
09/09/2012;8;0;1;1;0;1
09/09/2012;9;0;1;1;0;1
09/09/2012;10;0;1;1;0;1
09/09/2012;11;0;1;1;0;1
09/09/2012;12;0;1;1;0;1
09/09/2012;13;0;1;0;0;0
09/09/2012;14;0;1;0;0;0
09/09/2012;15;0;1;0;0;0
09/09/2012;16;0;1;0;0;0
09/09/2012;17;0;1;1;0;0
09/09/2012;18;0;1;1;0;1
09/09/2012;19;1;1;1;0;1
09/09/2012;20;1;1;1;1;1
09/09/2012;21;1;1;1;0;0
09/09/2012;22;0;1;1;0;1
09/09/2012;23;0;1;1;0;0
09/09/2012;24;0;1;1;0;0
10/09/2012;1;0;1;1;0;0
10/09/2012;2;0;1;1;0;0
10/09/2012;3;0;1;0;0;0
10/09/2012;4;0;1;0;0;0
10/09/2012;5;0;1;1;0;1
10/09/2012;6;0;1;1;0;1
10/09/2012;7;0;2;1;0;1
10/09/2012;8;0;2;1;0;1
10/09/2012;9;0;1;1;0;1
10/09/2012;10;0;1;1;0;1
10/09/2012;11;0;1;1;0;1
10/09/2012;12;0;1;1;0;1
10/09/2012;13;0;1;1;0;1
10/09/2012;14;0;1;1;0;1
10/09/2012;15;0;1;1;0;1
10/09/2012;16;0;1;1;0;1
10/09/2012;17;0;1;1;0;1
10/09/2012;18;0;1;1;0;2
10/09/2012;19;0;1;1;0;1
10/09/2012;20;0;1;1;0;1
10/09/2012;21;0;1;1;0;1
10/09/2012;22;0;1;1;0;1
10/09/2012;23;0;1;1;0;1
10/09/2012;24;0;1;1;0;0
11/09/2012;1;0;1;0;0;0
11/09/2012;2;0;1;0;0;0
11/09/2012;3;0;1;0;0;0
11/09/2012;4;0;1;1;0;0
11/09/2012;5;0;1;1;0;1
11/09/2012;6;0;1;1;0;1
11/09/2012;7;0;2;1;0;1
11/09/2012;8;0;2;1;0;1
11/09/2012;9;0;1;1;0;1
11/09/2012;10;0;1;1;0;1
11/09/2012;11;0;1;1;0;1
11/09/2012;12;0;1;1;n/d;1
11/09/2012;13;0;1;1;0;1
11/09/2012;14;0;1;1;0;1
11/09/2012;15;0;1;1;0;1
11/09/2012;16;0;2;1;0;1
11/09/2012;17;0;1;1;0;1
11/09/2012;18;0;1;1;0;1
11/09/2012;19;0;1;1;0;1
11/09/2012;20;0;1;1;0;0
11/09/2012;21;0;1;0;0;0
11/09/2012;22;0;2;1;0;0
11/09/2012;23;0;1;1;0;0
11/09/2012;24;0;1;0;0;0
12/09/2012;1;0;0;0;0;0
12/09/2012;2;0;0;0;0;0
12/09/2012;3;0;0;0;0;0
12/09/2012;4;0;1;0;0;0
12/09/2012;5;0;1;1;0;0
12/09/2012;6;0;1;1;0;1
