date;heure;CO;PM25;PM10;NO2;O3
;;mg/m3;microg/m3;microg/m3;microg/m3;microg/m3
01/09/2012;1;0;4;17;20;55
01/09/2012;2;0;4;16;20;49
01/09/2012;3;0;5;18;22;44
01/09/2012;4;0;7;19;26;36
01/09/2012;5;0;3;18;30;32
01/09/2012;6;0;6;20;44;19
01/09/2012;7;0;5;22;42;24
01/09/2012;8;0;6;22;38;32
01/09/2012;9;0;9;25;28;49
01/09/2012;10;0;11;24;16;64
01/09/2012;11;0;11;17;11;72
01/09/2012;12;0;11;16;10;77
01/09/2012;13;0;14;23;10;84
01/09/2012;14;0;14;19;9;89
01/09/2012;15;0;11;19;10;91
01/09/2012;16;0;12;28;12;93
01/09/2012;17;0;12;26;17;90
01/09/2012;18;0;14;24;24;84
01/09/2012;19;0;13;26;32;75
01/09/2012;20;0;17;32;29;57
01/09/2012;21;0;16;32;27;51
01/09/2012;22;0;16;31;26;46
01/09/2012;23;0;14;31;27;41
01/09/2012;24;0;17;30;28;36
02/09/2012;1;0;18;31;31;29
02/09/2012;2;0;17;31;25;30
02/09/2012;3;0;19;31;27;25
02/09/2012;4;0;20;28;27;22
02/09/2012;5;0;20;30;19;26
02/09/2012;6;0;19;31;21;23
02/09/2012;7;0;20;33;20;26
02/09/2012;8;0;17;33;33;17
02/09/2012;9;0;18;33;35;16
02/09/2012;10;0;18;33;16;38
02/09/2012;11;0;17;29;13;48
02/09/2012;12;0;19;30;11;61
02/09/2012;13;0;16;27;8;73
02/09/2012;14;0;10;23;9;77
02/09/2012;15;0;14;27;13;70
02/09/2012;16;0;16;28;13;72
02/09/2012;17;0;14;28;16;73
02/09/2012;18;0;11;23;21;67
02/09/2012;19;0;12;20;29;57
02/09/2012;20;0;14;24;21;59
02/09/2012;21;0;12;24;19;56
02/09/2012;22;0;15;21;18;54
02/09/2012;23;0;9;20;19;51
02/09/2012;24;0;7;18;16;50
03/09/2012;1;0;8;17;11;54
03/09/2012;2;0;8;16;9;53
03/09/2012;3;0;8;13;7;53
03/09/2012;4;0;8;17;11;46
03/09/2012;5;0;7;18;27;27
03/09/2012;6;0;8;17;45;10
03/09/2012;7;0;13;21;57;4
03/09/2012;8;1;14;29;54;6
03/09/2012;9;n/d;n/d;n/d;n/d;n/d
03/09/2012;10;n/d;n/d;n/d;n/d;n/d
03/09/2012;11;n/d;n/d;n/d;n/d;n/d
03/09/2012;12;0;7;19;24;27
03/09/2012;13;0;9;15;21;35
03/09/2012;14;0;7;16;28;30
03/09/2012;15;0;7;21;27;33
03/09/2012;16;0;7;27;23;44
03/09/2012;17;0;11;25;26;44
