date;heure;GEN;A1;GON;RUR-SE;RUR_S;RN6;PA04C;BOB;AUT;VITRY;RUR_N;BP_EST;RAMBO
;;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
01/09/2012;1;6;13;n/d;n/d;n/d;7;4;7;22;9;n/d;n/d;n/d
01/09/2012;2;7;14;n/d;n/d;n/d;4;4;6;19;9;n/d;n/d;n/d
01/09/2012;3;10;n/d;n/d;n/d;n/d;5;5;5;18;10;n/d;n/d;n/d
01/09/2012;4;10;18;n/d;n/d;n/d;5;7;5;21;10;n/d;n/d;n/d
01/09/2012;5;8;20;n/d;n/d;n/d;5;3;7;25;9;n/d;n/d;n/d
01/09/2012;6;7;29;n/d;n/d;n/d;6;6;9;27;9;n/d;n/d;n/d
01/09/2012;7;8;32;n/d;n/d;n/d;9;5;9;27;10;n/d;n/d;n/d
01/09/2012;8;12;29;n/d;n/d;n/d;10;6;11;24;10;n/d;n/d;n/d
01/09/2012;9;11;25;n/d;n/d;n/d;12;9;6;19;10;n/d;n/d;n/d
01/09/2012;10;8;18;n/d;n/d;n/d;n/d;11;3;19;11;n/d;n/d;n/d
01/09/2012;11;5;19;n/d;n/d;n/d;n/d;11;1;22;9;n/d;n/d;n/d
01/09/2012;12;6;20;n/d;n/d;n/d;10;11;3;24;10;n/d;n/d;n/d
01/09/2012;13;7;13;n/d;n/d;n/d;9;14;3;22;9;n/d;n/d;n/d
01/09/2012;14;7;17;n/d;n/d;n/d;7;14;2;22;12;n/d;n/d;n/d
01/09/2012;15;8;20;n/d;n/d;n/d;7;11;6;24;9;n/d;n/d;n/d
01/09/2012;16;8;20;n/d;n/d;n/d;6;12;5;26;9;n/d;n/d;n/d
01/09/2012;17;8;23;n/d;n/d;n/d;7;12;3;26;12;n/d;n/d;n/d
01/09/2012;18;10;21;n/d;n/d;n/d;8;14;8;29;12;n/d;n/d;n/d
01/09/2012;19;11;22;n/d;n/d;n/d;10;13;7;30;12;n/d;n/d;n/d
01/09/2012;20;12;27;n/d;n/d;n/d;15;17;14;35;17;n/d;n/d;n/d
01/09/2012;21;18;26;n/d;n/d;n/d;20;16;12;34;16;n/d;n/d;n/d
01/09/2012;22;16;24;n/d;n/d;n/d;19;16;13;37;15;n/d;n/d;n/d
01/09/2012;23;14;25;n/d;n/d;n/d;15;14;17;40;16;n/d;n/d;n/d
01/09/2012;24;15;30;n/d;n/d;n/d;15;17;17;40;17;n/d;n/d;n/d
02/09/2012;1;18;28;n/d;n/d;n/d;14;18;13;40;19;n/d;n/d;n/d
02/09/2012;2;17;29;n/d;n/d;n/d;15;17;15;42;18;n/d;n/d;n/d
02/09/2012;3;20;27;n/d;n/d;n/d;33;19;n/d;34;20;n/d;n/d;n/d
02/09/2012;4;21;29;n/d;n/d;n/d;20;20;n/d;35;21;n/d;n/d;n/d
02/09/2012;5;22;29;n/d;n/d;n/d;13;20;n/d;34;25;n/d;n/d;n/d
02/09/2012;6;21;33;n/d;n/d;n/d;14;19;n/d;33;25;n/d;n/d;n/d
02/09/2012;7;21;35;n/d;n/d;n/d;17;20;20;31;23;n/d;n/d;n/d
02/09/2012;8;18;34;n/d;n/d;n/d;22;17;19;28;23;n/d;n/d;n/d
02/09/2012;9;16;36;n/d;n/d;n/d;25;18;20;30;25;n/d;n/d;n/d
02/09/2012;10;17;39;n/d;n/d;n/d;21;18;19;28;19;n/d;n/d;n/d
02/09/2012;11;17;33;n/d;n/d;n/d;17;17;14;26;17;n/d;n/d;n/d
02/09/2012;12;15;38;n/d;n/d;n/d;19;19;15;21;18;n/d;n/d;n/d
02/09/2012;13;10;34;n/d;n/d;n/d;14;16;13;20;16;n/d;n/d;n/d
02/09/2012;14;9;25;n/d;n/d;n/d;14;10;10;23;14;n/d;n/d;n/d
02/09/2012;15;7;24;n/d;n/d;n/d;14;14;9;23;14;n/d;n/d;n/d
02/09/2012;16;8;22;n/d;n/d;n/d;18;16;7;23;11;n/d;n/d;n/d
02/09/2012;17;7;22;n/d;n/d;n/d;17;14;6;25;12;n/d;n/d;n/d
02/09/2012;18;7;22;n/d;n/d;n/d;14;11;6;26;14;n/d;n/d;n/d
02/09/2012;19;8;24;n/d;n/d;n/d;14;12;7;29;13;n/d;n/d;n/d
02/09/2012;20;7;24;n/d;n/d;n/d;12;14;10;28;12;n/d;n/d;n/d
02/09/2012;21;9;21;n/d;n/d;n/d;16;12;12;27;11;n/d;n/d;n/d
02/09/2012;22;11;20;n/d;n/d;n/d;12;15;7;28;10;n/d;n/d;n/d
02/09/2012;23;7;20;n/d;n/d;n/d;13;9;10;23;10;n/d;n/d;n/d
02/09/2012;24;7;15;n/d;n/d;n/d;10;7;9;22;9;n/d;n/d;n/d
03/09/2012;1;7;12;n/d;n/d;n/d;5;8;8;19;8;n/d;n/d;n/d
03/09/2012;2;4;14;n/d;n/d;n/d;10;8;7;18;8;n/d;n/d;n/d
03/09/2012;3;4;11;n/d;n/d;n/d;5;8;5;16;8;n/d;n/d;n/d
03/09/2012;4;8;13;n/d;n/d;n/d;10;8;6;17;9;n/d;n/d;n/d
03/09/2012;5;8;19;n/d;n/d;n/d;14;7;8;23;10;n/d;n/d;n/d
03/09/2012;6;9;26;n/d;n/d;n/d;10;8;7;34;10;n/d;n/d;n/d
03/09/2012;7;9;28;n/d;n/d;n/d;15;13;10;35;10;n/d;n/d;n/d
