date;heure;RUR-SE;AUT;VITRY;NEUIL;EIFF3;AUB
;;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3;microg/m3
01/09/2012;1;1;0;0;0;n/d;0
01/09/2012;2;1;0;0;2;n/d;0
01/09/2012;3;1;0;0;2;n/d;0
01/09/2012;4;1;0;0;2;n/d;0
01/09/2012;5;1;0;0;3;n/d;0
01/09/2012;6;1;1;0;3;n/d;0
01/09/2012;7;1;0;0;2;n/d;0
01/09/2012;8;2;0;1;2;n/d;0
01/09/2012;9;2;0;2;1;n/d;0
01/09/2012;10;2;0;2;1;n/d;1
01/09/2012;11;2;0;2;1;n/d;1
01/09/2012;12;1;0;1;1;n/d;0
01/09/2012;13;2;0;1;0;n/d;0
01/09/2012;14;1;0;0;0;n/d;0
01/09/2012;15;1;1;0;0;n/d;0
01/09/2012;16;1;1;0;2;n/d;0
01/09/2012;17;2;2;0;2;n/d;0
01/09/2012;18;2;2;1;1;n/d;0
01/09/2012;19;1;1;1;1;n/d;1
01/09/2012;20;1;2;1;3;n/d;1
01/09/2012;21;1;2;2;3;n/d;0
01/09/2012;22;1;2;1;2;n/d;0
01/09/2012;23;1;1;1;2;n/d;0
01/09/2012;24;1;1;1;2;n/d;0
02/09/2012;1;1;0;0;0;n/d;0
02/09/2012;2;1;0;0;0;n/d;0
02/09/2012;3;1;0;0;0;n/d;0
02/09/2012;4;1;0;0;1;n/d;0
02/09/2012;5;1;0;1;2;n/d;0
02/09/2012;6;1;0;2;2;n/d;1
02/09/2012;7;1;0;2;0;n/d;1
02/09/2012;8;1;0;2;0;n/d;0
02/09/2012;9;1;0;2;0;n/d;0
02/09/2012;10;2;0;2;0;n/d;0
02/09/2012;11;1;0;2;0;n/d;0
02/09/2012;12;1;0;1;0;n/d;0
02/09/2012;13;1;0;1;0;n/d;0
02/09/2012;14;1;0;0;0;n/d;0
02/09/2012;15;1;1;0;0;n/d;0
02/09/2012;16;1;2;1;1;n/d;0
02/09/2012;17;1;3;3;1;n/d;0
02/09/2012;18;1;1;2;0;n/d;0
02/09/2012;19;1;1;1;0;n/d;0
02/09/2012;20;1;0;2;0;n/d;0
02/09/2012;21;1;0;1;0;n/d;0
02/09/2012;22;1;0;0;0;n/d;0
02/09/2012;23;2;0;0;0;n/d;0
02/09/2012;24;1;0;0;0;n/d;0
03/09/2012;1;1;0;n/d;n/d;n/d;0
03/09/2012;2;1;0;n/d;n/d;n/d;0
03/09/2012;3;1;0;n/d;n/d;n/d;0
03/09/2012;4;1;0;n/d;n/d;n/d;0
03/09/2012;5;1;0;n/d;n/d;n/d;0
03/09/2012;6;1;0;n/d;n/d;n/d;0
03/09/2012;7;1;0;n/d;n/d;n/d;0
03/09/2012;8;1;1;0;n/d;n/d;0
03/09/2012;9;1;0;0;n/d;n/d;0
03/09/2012;10;1;1;n/d;n/d;n/d;0
03/09/2012;11;1;1;0;n/d;n/d;n/d
03/09/2012;12;1;1;0;n/d;n/d;0
03/09/2012;13;1;0;n/d;0;n/d;0
03/09/2012;14;1;0;n/d;0;n/d;0
03/09/2012;15;0;0;0;0;n/d;0
03/09/2012;16;1;0;0;0;n/d;0
03/09/2012;17;0;0;n/d;0;n/d;0
03/09/2012;18;1;0;n/d;0;n/d;0
03/09/2012;19;1;0;n/d;0;n/d;0
03/09/2012;20;1;0;n/d;0;n/d;0
03/09/2012;21;1;0;0;0;n/d;0
03/09/2012;22;1;0;0;0;n/d;0
03/09/2012;23;1;0;0;0;n/d;0
03/09/2012;24;1;0;0;0;n/d;0
04/09/2012;1;1;0;1;0;n/d;0
04/09/2012;2;1;0;1;0;n/d;0
04/09/2012;3;1;0;1;0;n/d;0
04/09/2012;4;1;0;1;0;n/d;0
04/09/2012;5;1;0;1;n/d;n/d;0
04/09/2012;6;1;1;1;0;n/d;0
04/09/2012;7;1;0;2;0;n/d;0
04/09/2012;8;2;1;2;0;n/d;0
04/09/2012;9;2;0;n/d;0;n/d;0
04/09/2012;10;2;1;n/d;0;n/d;0
04/09/2012;11;2;1;3;0;n/d;2
04/09/2012;12;2;2;2;0;n/d;1
04/09/2012;13;2;1;1;0;n/d;0
04/09/2012;14;2;2;1;0;n/d;0
04/09/2012;15;1;2;1;0;n/d;0
04/09/2012;16;1;1;1;0;n/d;0
04/09/2012;17;2;1;0;0;n/d;0
04/09/2012;18;3;1;0;0;n/d;0
